9.765625e-08,3725
1.7922559922179592e-07,3620
3.2892738986405696e-07,2285
6.03670615540192e-07,2383
1.1078986527004806e-06,4282
2.033293311050383e-06,3975
3.731642491562745e-06,4775
6.848572023110128e-06,3085
1.2568979708472728e-05,2845
2.306747309934201e-05,2323
4.233504449292523e-05,1522
7.769624286541736e-05,916
0.00014259359421272692,620
0.00026169776504796766,499
0.00048028609285864196,306
0.0008814547229745687,183
0.0016177075293388715,121
0.002968930317428431,150
0.0054487891475340005,69
0.009999999999999998,79
